id,product_category,product_name,price,price_unit
1,Environmental Science,Time and Methods in Environmental Interfaces Modelling,37.49,USD
2,"Agricultural, Biological, and Food Sciences",Molecular Breeding and Nutritional Aspects of Buckwheat,37.49,USD
3,"Biochemistry, Genetics and Molecular Biology",American Trypanosomiasis Chagas Disease (Second Edition),42.99,USD
4,Chemical Engineering,Advanced and Emerging Polybenzoxazine Science and Technology,42.99,USD
5,Chemical Engineering,Solar Energy Desalination Technology,42.99,USD
6,Chemical Engineering,Handbook of Spent Hydroprocessing Catalysts (Second Edition),42.99,USD
7,Computer Science,Deep Learning for Medical Image Analysis,29.99,USD
8,Earth and Planetary Sciences,Integrating Emergency Management and Disaster Behavioral Health,29.99,USD
9,Earth and Planetary Sciences,Shale Gas,38.99,USD
10,Engineering,Databook of Plasticizers (Second Edition),38.99,USD
11,Engineering,Handbook of Plasticizers (Third Edition),38.99,USD
12,Engineering,Databook of Blowing and Auxiliary Agents,38.99,USD
13,Engineering,Rheology (Third Edition),49.99,USD
14,Environmental Science,Environmental Management,17.99,USD
15,Finance,The China Business Model,36.99,USD
16,Forensics and Security,Forensic Investigations,33.99,USD
17,Forensics and Security,The Manager's Handbook for Corporate Security (Second Edition),33.99,USD
18,Forensics and Security,Sports Travel Security,27.49,USD
19,Materials Science,Robust Process Development and Scientific Molding (Second Edition),23.99,USD
20,Mathematics,"Riemannian Submersions, Riemannian Maps in Hermitian Geometry, and their Applications",9.39,USD
21,Mathematics,The Partition Method for a Power Series Expansion,14.99,USD
22,Neuroscience,Sleep and Neurologic Disease,19.99,USD
23,Physics and Astronomy,Applied Underwater Acoustics,29.99,USD
24,Immunology and Microbiology,The Digestive Involvement in Systemic Autoimmune Diseases,29.99,USD
25,"Biochemistry, Genetics and Molecular Biology",Presenting an Effective and Dynamic Technical Paper,29.99,USD
26,Chemistry,Discovery and Development of Antidiabetic Agents from Natural Products,24.99,USD
27,Earth and Planetary Sciences,Practical Petroleum Geochemistry for Exploration and Production,14.99,USD
28,Earth and Planetary Sciences,"Social Network Analysis of Disaster Response, Recovery, and Adaptation",19.99,USD
29,Earth and Planetary Sciences,Introduction to Volcanic Seismology (Third Edition),15.49,USD
30,Physics and Astronomy,Advances in Semiconductor Nanostructures,14.99,USD
31,"Agricultural, Biological, and Food Sciences",Ecology and Evolution of Cancer,14.89,USD
32,Chemistry,Multi-Scale Approaches in Drug Discovery,14.89,USD
33,Computer Science,Mobile Sensors and Context-Aware Computing,15.89,USD
34,Computer Science,Application Performance Management (APM) in the Digital Enterprise,14.99,USD
35,Computer Science,Advanced Persistent Security,18.99,USD
36,Computer Science,Managing the Web of Things,19.99,USD
37,Earth and Planetary Sciences,Understanding the Bouguer Anomaly,29.99,USD
38,Energy,Petroleum Production Engineering (Second Edition),9.69,USD
39,Engineering,Forsthoffer's More Best Practices for Rotating Equipment,9.89,USD
40,Engineering,Discrete-Time Neural Observers,12.59,USD
41,Engineering,Plastics in Medical Devices for Cardiovascular Applications,7.89,USD
42,Engineering,Topology Optimization in Engineering Structure Design,9.99,USD
43,Mathematics,Fractional Calculus and Fractional Processes with Applications to Financial Economics,8.99,USD
44,Neuroscience,Mathematics for Neuroscientists (Second Edition),7.79,USD
45,Neuroscience,The Human Sciences after the Decade of the Brain,6.59,USD
46,"Pharmacology, Toxicology and Pharmaceutical Science","Emerging Nanotechnologies for Diagnostics, Drug Delivery and Medical Devices",8.79,USD
47,"Biochemistry, Genetics and Molecular Biology",Genetics and Evolution of Infectious Diseases (Second Edition),15.99,USD
48,Chemical Engineering,Materials Under Extreme Conditions,11.49,USD
49,Computer Science,Securing the Internet of Things,8.99,USD
50,Earth and Planetary Sciences,Geomorphology and Volcanology of Costa Rica,14.99,USD
51,Energy,Fundamentals and Applications of Supercritical Carbon Dioxide (sCO₂) Based Power Cycles,43.99,USD
52,Engineering,Human Recognition in Unconstrained Environments,36.99,USD
53,Engineering,Extrusion Dies for Plastics and Rubber (Fourth Edition),11.99,USD
54,Engineering,Leadership and Management of Machining,10.59,USD
55,Engineering,Handbook of Odors in Plastic Materials (Second Edition),11.99,USD
56,Engineering,Handbook of Foaming and Blowing Agents,36.99,USD
57,Engineering,Atlas of Material Damage (Second Edition),14.99,USD
58,Environmental Science,"Methods in Stream Ecology, Volume 1 (Third Edition)",9.99,USD
59,Materials Science,Nanofiber Composites for Biomedical Applications,5.89,USD
60,Materials Science,Biomechanics of Tendons and Ligaments,8.99,USD
61,Materials Science,Developments in Surface Contamination and Cleaning: Methods for Surface Cleaning,10.99,USD
62,Materials Science,Nanotechnology and Functional Materials for Engineers,6.99,USD
63,Mathematics,Uncertainties in GPS Positioning,5.99,USD
64,Mathematics,New Approaches of Protein Function Prediction from Protein Interaction Networks,23.99,USD
65,Neuroscience,Innovative Neuromodulation,17.49,USD
66,"Pharmacology, Toxicology and Pharmaceutical Science",Medicinal Spices and Vegetables from Africa,15.59,USD
67,"Pharmacology, Toxicology and Pharmaceutical Science",Serum Pharmacochemistry of Traditional Chinese Medicine,29.99,USD
68,Social Sciences,Scholarly Communication at the Crossroads in China,17.99,USD
69,Social Sciences,Contested Memories in Chinese and Japanese Foreign Policy,19.99,USD
70,"Biochemistry, Genetics and Molecular Biology",Neuropsychiatric Disorders and Epigenetics,42.99,USD
71,Engineering,Green Construction Project Management and Cost Oversight,14.99,USD
72,Veterinary Medicine,Pathologic Basis of Veterinary Disease (Sixth Edition),14.99,USD
73,"Agricultural, Biological, and Food Sciences",Fish Diseases,8.99,USD
74,Biomedical Science and Medicine,"The Heart in Rheumatic, Autoimmune and Inflammatory Diseases",6.49,USD
75,Chemical Engineering,Modern Inorganic Synthetic Chemistry (Second Edition),10.89,USD
76,Engineering,Diffuse Algorithms for Neural and Neuro-Fuzzy Networks,13.99,USD
77,Neuroscience,Primer on Cerebrovascular Diseases (Second Edition),7.49,USD
78,Neuroscience,Stress and Epigenetics in Suicide,9.99,USD
79,Chemistry,"{Progress in Heterocyclic Chemistry, Volume 28}",9.39,USD
80,"Biochemistry, Genetics and Molecular Biology",High-Throughput Formulation Development of Biopharmaceuticals,10.99,USD
81,"Agricultural, Biological, and Food Sciences",Cereal Grains (Second Edition),14.79,USD
82,"Agricultural, Biological, and Food Sciences",The Teeth of Non-Mammalian Vertebrates,13.59,USD
83,"Agricultural, Biological, and Food Sciences",Insect Pests of Millets,12.79,USD
84,"Agricultural, Biological, and Food Sciences",The Coconut,5.79,USD
85,Biomedical Science and Medicine,Congenital and Acquired Bone Marrow Failure,5.99,USD
86,Biomedical Science and Medicine,Cushing's Disease,7.89,USD
87,Biomedical Science and Medicine,E-Health Two-Sided Markets,6.69,USD
88,Chemical Engineering,Solid Fuels and Heavy Hydrocarbon Liquids (Second Edition),9.99,USD
89,Chemical Engineering,Process Plant Layout (Second Edition),6.79,USD
90,Chemical Engineering,Life-Cycle Assessment of Biorefineries,5.89,USD
91,Chemistry,Modern Synthesis Processes and Reactivity of Fluorinated Compounds,9.99,USD
92,Computer Science,FTTx Networks,7.99,USD
93,Computer Science,Advances in GPU Research and Practice,9.99,USD
94,Computer Science,Network Storage,10.69,USD
95,Computer Science,Software Defined Networks (Second Edition),6.48,USD
96,Computer Science,Federal Cloud Computing (Second Edition),12.69,USD
97,Computer Science,Big Data and Smart Service Systems,13.99,USD
98,Energy,Clean Energy for Sustainable Development,4.99,USD
99,Energy,Energy Positive Neighborhoods and Smart Energy Districts,9.69,USD
100,Engineering,Cost-Effective Energy Efficient Building Retrofitting,13.99,USD
101,Engineering,Computing and Visualization for Intravascular Imaging and Computer-Assisted Stenting,13.99,USD
102,Finance,The Wine Value Chain in China,13.99,USD
103,Immunology and Microbiology,Immunopotentiators in Modern Vaccines (Second Edition),10.99,USD
104,Immunology and Microbiology,Ticks of Trinidad and Tobago - an Overview,6.49,USD
105,Materials Science,Sustainable Construction Materials,7.79,USD
106,Materials Science,Mechanical Behaviors of Carbon Nanotubes,8.99,USD
107,Materials Science,Nanoscience and its Applications,32.99,USD
108,Psychology,The Psychology of Gender and Health,32.99,USD
109,Social Sciences,The Political Economy of Business Ethics in East Asia,31.99,USD
110,Social Sciences,Successful Fundraising for the Academic Library,34.49,USD
111,Immunology and Microbiology,The Heart in Systemic Autoimmune Diseases,35.99,USD
112,Health Professions,Pharmacology and Therapeutics for Dentistry (Seventh Edition),13.99,USD
113,Health Professions,Maxillofacial Surgery (Third Edition),16.99,USD
114,Specialty Medicine,Case Studies in Clinical Cardiac Electrophysiology,14.99,USD
115,Specialty Medicine,Case Reviews in Ophthalmology (Second Edition),15.99,USD
116,Specialty Medicine,Kaufman's Clinical Neurology for Psychiatrists (Eighth Edition),5.99,USD
117,Specialty Medicine,Chronic Coronary Artery Disease,6.99,USD
118,Specialty Surgery,Cosmetic Facial Surgery (Second Edition),14.49,USD
119,"Agricultural, Biological, and Food Sciences",Applications in High Resolution Mass Spectrometry,8.99,USD
120,Biomedical Science and Medicine,Liver Pathophysiology,7.99,USD
121,Chemical Engineering,Cosmetic Science and Technology,8.99,USD
122,Chemical Engineering,Low Grade Heat Driven Multi-Effect Distillation and Desalination,9.89,USD
123,Chemistry,America Invents Act Primer,13.99,USD
124,Computer Science,Cognitive Information Systems in Management Sciences,10.99,USD
125,Energy,Optimization in Renewable Energy Systems,15.99,USD
126,Energy,Heat Recovery Steam Generator Technology,15.99,USD
127,Energy,The Power Grid,12.99,USD
128,Engineering,Statistical Techniques for Transportation Engineering,15.89,USD
129,Environmental Science,The Application of Green Solvents in Separation Processes,15.89,USD
130,Finance,"Probability, Statistics and Econometrics",15.89,USD
131,Materials Science,Natural Fiber-Reinforced Biodegradable and Bioresorbable Polymer Composites,15.89,USD
132,Materials Science,Defect Structure and Properties of Nanomaterials (Second Edition),12.99,USD
133,Materials Science,Carbon Nanomaterials for Biological and Medical Applications,15.89,USD
134,Neuroscience,Neural Data Science,9.99,USD
135,Specialty Medicine,Arrhythmia Essentials (Second Edition),9.99,USD
136,Veterinary Medicine,Veterinary Medicine (Eleventh Edition),9.39,USD
137,"Agricultural, Biological, and Food Sciences",Wine Tasting (Third Edition),9.39,USD
138,"Agricultural, Biological, and Food Sciences",Nutrition and Functional Foods for Healthy Aging,18.99,USD
139,Biomedical Science and Medicine,Rare and Interesting Cases in Pulmonary Medicine,20.99,USD
140,Biomedical Science and Medicine,Navelbine® and Taxotere®,9.39,USD
141,Chemistry,Transition Metal-Catalyzed Benzofuran Synthesis,9.39,USD
142,Computer Science,Big Data Analytics for Sensor-Network Collected Intelligence,9.99,USD
143,Engineering,A Generalized Framework of Linear Multivariable Control,9.99,USD
144,Engineering,Wheeled Mobile Robotics,9.99,USD
145,Engineering,Aerosol Filtration,9.99,USD
146,Immunology and Microbiology,Ticks of the Southern Cone of America,9.99,USD
147,Materials Science,Green Composites (Second Edition),9.99,USD
148,Materials Science,Emerging Nanotechnologies in Rechargeable Energy Storage Systems,9.39,USD
149,Neuroscience,Translational Immunotherapy of Brain Tumors,4.99,USD
150,Psychology,Twin Mythconceptions,4.89,USD
151,Neuroscience,Critical Care Neurology Part II,11.99,USD
152,Neuroscience,Critical Care Neurology Part I,7.49,USD
153,Specialty Medicine,Clinical Gynecologic Oncology (Ninth Edition),4.59,USD
154,Specialty Medicine,Hypertension: A Companion to Braunwald's Heart Disease (Third Edition),3.49,USD
155,Specialty Surgery,Operative Techniques: Hand and Wrist Surgery (Third Edition),9.49,USD
156,"Agricultural, Biological, and Food Sciences",Food Processing Technology (Fourth Edition),16.99,USD
157,"Agricultural, Biological, and Food Sciences",Egg Innovations and Strategies for Improvements,15.99,USD
158,"Agricultural, Biological, and Food Sciences",Gorilla Pathology and Health,14.49,USD
159,"Agricultural, Biological, and Food Sciences",The Vitamins (Fifth Edition),10.69,USD
160,"Agricultural, Biological, and Food Sciences",The Craft and Science of Coffee,19.99,USD
161,"Agricultural, Biological, and Food Sciences",The Norovirus,6.99,USD
162,"Agricultural, Biological, and Food Sciences",Biotic Stress Resistance in Millets,6.99,USD
163,"Agricultural, Biological, and Food Sciences",Nutraceutical and Functional Food Components,6.99,USD
164,"Agricultural, Biological, and Food Sciences",The Competitiveness of Tropical Agriculture,6.99,USD
165,"Agricultural, Biological, and Food Sciences",Olive Mill Waste,7.99,USD
166,"Agricultural, Biological, and Food Sciences",Electron Spin Resonance in Food Science,9.69,USD
167,"Agricultural, Biological, and Food Sciences",Forest Management and Planning (Second Edition),5.99,USD
168,"Agricultural, Biological, and Food Sciences",Validating Preventive Food Safety and Quality Controls,3.59,USD
169,"Biochemistry, Genetics and Molecular Biology",Translating Epigenetics to the Clinic,8.99,USD
170,"Biochemistry, Genetics and Molecular Biology",Modeling of Microscale Transport in Biological Processes,8.99,USD
171,"Biochemistry, Genetics and Molecular Biology",Progress and Challenges in Precision Medicine,2.99,USD
172,"Biochemistry, Genetics and Molecular Biology",Polycomb Group Proteins,3.29,USD
173,Biomedical Science and Medicine,Handbook of Supportive and Palliative Radiation Oncology,5.49,USD
174,Biomedical Science and Medicine,Introduction to Cancer Metastasis,3.39,USD
175,Biomedical Science and Medicine,The Microbiota in Gastrointestinal Pathophysiology,3.99,USD
176,Biomedical Science and Medicine,The Pituitary (Fourth Edition),5.49,USD
177,Biomedical Science and Medicine,Global Health Informatics,4.99,USD
178,Biomedical Science and Medicine,"Alcohol, Drugs, Genes and the Clinical Laboratory",4.39,USD
179,Chemical Engineering,Technologies for Biochemical Conversion of Biomass,6.59,USD
180,Chemical Engineering,Pulp and Paper Industry,3.49,USD
181,Chemistry,Selection of the HPLC Method in Chemical Analysis,3.99,USD
182,Chemistry,Inorganic and Organometallic Transition Metal Complexes with Biological Molecules and Living Cells,3.99,USD
183,Chemistry,"Transition Metal Catalyzed Pyrimidine, Pyrazine, Pyridazine and Triazine Synthesis",9.99,USD
184,Computer Science,Parallel Programming with OpenACC,5.79,USD
185,Computer Science,Contextual Design (Second Edition),5.99,USD
186,Computer Science,Penetration Tester's Open Source Toolkit (Fourth Edition),5.79,USD
187,Computer Science,Rugged Embedded Systems,5.79,USD
188,Computer Science,Silicon Photonics,2.99,USD
189,Computer Science,Hacking Wireless Access Points,12.47,USD
190,Computer Science,Peering Carrier Ethernet Networks,6.79,USD
191,Computer Science,OCEB 2 Certification Guide (Second Edition),5.39,USD
192,Computer Science,Coding for Penetration Testers (Second Edition),5.79,USD
193,Computer Science,Evolution of Knowledge Science,6.79,USD
194,Computer Science,Lossless Information Hiding in Images,7.49,USD
195,Earth and Planetary Sciences,Nickel Sulfide Ores and Impact Melts,6.99,USD
196,Energy,Nuclear Power,6.99,USD
197,Energy,Deep Shale Oil and Gas,7.99,USD
198,Energy,Fluid Phase Behavior for Conventional and Unconventional Oil and Gas Reservoirs,7.59,USD
199,Energy,Steam Generation from Biomass,8.89,USD
200,Energy,Clean Coal Engineering Technology (Second Edition),8.49,USD
201,Energy,Solar Heating and Cooling Systems,8.99,USD
202,Energy,Power Electronics and Motor Drive Systems,6.99,USD
203,Energy,Specifications of Photovoltaic Pumping Systems in Agriculture,7.69,USD
204,Energy,Hydraulic Fracturing in Unconventional Reservoirs,5.99,USD
205,Engineering,Power Supplies for LED Driving (Second Edition),6.49,USD
206,Engineering,Thermal Power Plant,5.69,USD
207,Engineering,Microgrid,7.99,USD
208,Engineering,Onshore Structural Design Calculations,7.39,USD
209,Engineering,Indoor Navigation Strategies for Aerial Autonomous Systems,9.99,USD
210,Engineering,Differential Transformation Method for Mechanical Engineering Problems,7.79,USD
211,Engineering,Ambient Assisted Living and Enhanced Living Environments,9.99,USD
212,Engineering,Petroleum Waste Treatment and Pollution Control,9.99,USD
213,Engineering,Thermal System Design and Simulation,9.99,USD
214,Engineering,High Dynamic Range Video,9.99,USD
215,Engineering,Solid and Hazardous Waste Management,8.39,USD
216,Engineering,Heat Transfer in Aerospace Applications,11.99,USD
217,Engineering,Optimization of Manufacturing Systems Using the Internet of Things,12.79,USD
218,Engineering,Intelligent Fault Diagnosis and Remaining Useful Life Prediction of Rotating Machinery,15.69,USD
219,Engineering,Permeability Properties of Plastics and Elastomers (Fourth Edition),8.49,USD
220,Engineering,Advanced Machining Processes of Metallic Materials (Second Edition),9.99,USD
221,Engineering,Microfabrication and Precision Engineering,11.99,USD
222,Environmental Science,Soil Magnetism,10.99,USD
223,Finance,Strategic Financial Management Casebook,12.99,USD
224,Forensics and Security,Forensic Science Reform,11.99,USD
225,Forensics and Security,Security Metrics Management (Second Edition),12.69,USD
226,Forensics and Security,Effective Physical Security (Fifth Edition),6.99,USD
227,Forensics and Security,Contemporary Digital Forensic Investigations of Cloud and Mobile Applications,7.79,USD
228,Forensics and Security,The Psychology of Criminal and Antisocial Behavior,10.99,USD
229,Forensics and Security,Integrating Python with Leading Computer Forensics Platforms,11.99,USD
230,Immunology and Microbiology,"Autophagy: Cancer, Other Pathologies, Inflammation, Immunity, Infection, and Aging",10.99,USD
231,Materials Science,Functionalized Nanomaterials for the Management of Microbial Infection,14.99,USD
232,Mathematics,The Material Point Method,13.49,USD
233,Mathematics,Differential Equations with Mathematica (Fourth Edition),12.99,USD
234,Mathematics,Random Operator Theory,12.99,USD
235,Mathematics,Engineering Mathematics with Examples and Applications,10.99,USD
236,Neuroscience,Handbook of Cannabis and Related Pathologies,8.97,USD
237,Neuroscience,DNA Modifications in the Brain,7.99,USD
238,Neuroscience,Stress: Neuroendocrinology and Neurobiology,7.49,USD
239,Neuroscience,Molecular and Cellular Therapies for Motor Neuron Diseases,6.39,USD
240,Neuroscience,Neuroprotection in Alzheimer's Disease,6.39,USD
241,Neuroscience,Parkinson's Disease,7.89,USD
242,Neuroscience,Physical Activity and the Aging Brain,11.99,USD
243,Neuroscience,Nutrition and Lifestyle in Neurological Autoimmune Diseases,9.99,USD
244,"Pharmacology, Toxicology and Pharmaceutical Science",Developing Solid Oral Dosage Forms (Second Edition),9.69,USD
245,"Pharmacology, Toxicology and Pharmaceutical Science",Microsized and Nanosized Carriers for Nonsteroidal Anti-Inflammatory Drugs,6.79,USD
246,"Pharmacology, Toxicology and Pharmaceutical Science",Analytical Assessment of E-Cigarettes,6.79,USD
247,Psychology,Reconstructing Meaning After Trauma,9.9,USD
248,Psychology,Creativity and the Performing Artist,17.99,USD
249,Psychology,Rationality,19.89,USD
250,Psychology,Anxiety in Children and Adolescents with Autism Spectrum Disorder,6.59,USD
251,Psychology,Dominance and Aggression in Humans and Other Animals,9.89,USD
252,Psychology,Explaining Suicide,9.99,USD
253,Psychology,Quality Activities in Center-Based Programs for Adults with Autism,7.99,USD
